case	status	log
result-brand_perception-desktop	passed	logs/result-brand_perception-desktop.log
result-brand_perception-mobile	passed	logs/result-brand_perception-mobile.log
result-campaign_strategy-desktop	passed	logs/result-campaign_strategy-desktop.log
result-campaign_strategy-mobile	passed	logs/result-campaign_strategy-mobile.log
result-churn_prediction-desktop	passed	logs/result-churn_prediction-desktop.log
result-churn_prediction-mobile	passed	logs/result-churn_prediction-mobile.log
result-competitive_positioning-desktop	passed	logs/result-competitive_positioning-desktop.log
result-competitive_positioning-mobile	passed	logs/result-competitive_positioning-mobile.log
result-creative_testing-desktop	passed	logs/result-creative_testing-desktop.log
result-creative_testing-mobile	passed	logs/result-creative_testing-mobile.log
result-market_segmentation-desktop	passed	logs/result-market_segmentation-desktop.log
result-market_segmentation-mobile	passed	logs/result-market_segmentation-mobile.log
result-price_optimization-desktop	passed	logs/result-price_optimization-desktop.log
result-price_optimization-mobile	passed	logs/result-price_optimization-mobile.log
result-product_launch-desktop	passed	logs/result-product_launch-desktop.log
result-product_launch-mobile	passed	logs/result-product_launch-mobile.log
result-value_proposition-desktop	passed	logs/result-value_proposition-desktop.log
result-value_proposition-mobile	passed	logs/result-value_proposition-mobile.log
landing-desktop	passed	logs/landing-desktop.log
landing-mobile	passed	logs/landing-mobile.log
app-desktop	passed	logs/app-desktop.log
app-mobile	passed	logs/app-mobile.log
validation-desktop	passed	logs/validation-desktop.log
validation-mobile	passed	logs/validation-mobile.log
state-no-run	passed	logs/state-no-run.log
state-failed	passed	logs/state-failed.log
state-interrupted	passed	logs/state-interrupted.log
api-config	passed	logs/api-config.log
api-health	passed	logs/api-health.log
api-auth-session	passed	logs/api-auth-session.log
api-export	passed	logs/api-export.log
sse-replay	passed	logs/sse-replay.log
new-simulation-regression	passed	logs/new-simulation-regression.log
